company_name	location	labor_bureau	first_appeared	last_appeared	duration_days	violation_law	violation_summary	prosecution_date	status	crossed_data_gap
（有）曾野木商事	新潟県新潟市	新潟労働局	2016-12-01	2017-06-01	182	最低賃金法第４条	労働者21名に、１か月間、新潟県最低 賃金以上の賃金を支払わなかったもの	2016-12-01	removed	
（株）東豊興業	高知県長岡郡大豊町	高知労働局	2017-03-15	2017-06-01	78	労働安全衛生法第21条 労働安全衛生規則第519条	高さ２ｍ以上の小段の端に手すり等を 設けることなく労働者に作業を行わせ たもの	2017-03-15	removed	
（株）家工房木の匠	福岡県北九州市八幡西区	福岡労働局	2017-03-24	2018-05-07	409	労働安全衛生法第21条 労働安全衛生規則第518条	住宅新築工事現場において、高さ5.85 ｍの梁上で作業を行わせるに際し、墜 落防止措置を講じていなかったもの	2017-03-24	removed	
木曽駒高原天然水協同組合	長野県木曽町	長野労働局	2017-03-31	2017-08-03	125	最低賃金法第４条	労働者８名に、１か月間の定期賃金合 計約89万円を所定支払日に支払わな かったもの	2017-03-31	removed	
宮本塗装店	三重県伊勢市	三重労働局	2016-11-28	2017-12-28	395	労働安全衛生法第21条 労働安全衛生規則第524条	スレート屋根上に歩み板等を設けるこ となく労働者に高さ約８ｍの高所作業 を行わせたもの	2016-11-28	removed	
大日建設（株）	大阪府吹田市	大阪労働局	2017-02-02	2017-09-01	211	労働安全衛生法第20条 労働安全衛生規則第158条	車両系建設機械を運転して、地山掘削 の作業を行うに際して、作業半径内に 労働者を立ち入らせたこと	2017-02-02	removed	
ミナト電機工業（株）	兵庫県姫路市	兵庫労働局	2016-11-10	2017-12-28	413	労働安全衛生法第100条 労働安全衛生規則第97条	事実とは異なる災害発生状況を記載し た虚偽の労働者死傷病報告を、所轄労 基署に提出したもの	2016-11-10	removed	
（株）Ｉ・Ｔ・Ｏ	奈良県奈良市	奈良労働局	2016-10-11	2017-11-18	403	労働安全衛生法第61条 労働安全衛生法施行令第20条 労働者派遣法第45条	無資格の労働者にショベルローダーを 運転させたもの	2016-10-11	removed	
（株）エース産業	和歌山県海南市	和歌山労働局	2016-11-14	2017-12-28	409	労働基準法第32条	労働者８名に、36協定の延長時間を超 える違法な時間外・休日労働を行わせ たもの	2016-11-14	removed	
（株）大喜	熊本県天草市	熊本労働局	2016-11-18	2017-12-28	405	労働安全衛生法第100条 労働安全衛生規則第97条	労働者が労働災害により４日以上休業 したにもかかわらず、遅滞なく労働者 死傷病報告を提出しなかったもの	2016-11-18	removed	
森永乳業（株） 神戸工場	兵庫県神戸市	兵庫労働局	2017-03-24	2017-06-01	69	労働安全衛生法第20条 労働安全衛生規則第107条	機械の不具合を解消（調整）する作業 を、その機械にはさまれるおそれがあ るのに、機械を停止せず行わせたもの	2017-03-24	removed	
（株）三本木製作所	福島県郡山市	福島労働局	2017-01-13	2018-03-02	413	労働安全衛生法第20条 労働安全衛生規則第131条	プレス機械の安全装置を無効化したま ま作業を行わせ、労働者１名が右手指 を切断する災害を発生させたもの	2017-01-13	removed	
（株）ニッショー	大分県大分市	大分労働局	2017-03-16	2017-09-01	169	労働安全衛生法第100条 労働安全衛生規則第97条	約300日間の休業を要する労働災害が 発生したのに、休業3日とした虚偽の 労働者死傷病報告を提出したもの	2017-03-16	removed	
（株）エイチエス	愛知県名古屋市北区	愛知労働局	2016-12-15	2018-01-31	412	最低賃金法第４条	労働者４名に、６か月間の定期賃金合 計約300万円を支払わなかったもの	2016-12-15	removed	
青海島観光ホテル	山口県長門市	山口労働局	2017-02-17	2017-08-25	189	最低賃金法第４条	労働者１名に、１か月間の定期賃金約 ３万円を支払わなかったもの	2017-02-17	removed	
首都高メンテナンス東東京 （株）	東京都中央区	東京労働局	2016-12-27	2017-06-01	156	労働安全衛生法第30条 労働安全衛生規則第637条	特定元方事業者（元請）として、作業 日ごとに少なくとも１回、作業場所の 巡視を行っていなかったもの	2016-12-27	removed	
（株）日進工業	大阪府大阪市	大阪労働局	2017-03-06	2017-06-01	87	労働安全衛生法第14条 労働安全衛生法施行令第６条 労働安全衛生規則第134条	プレス機械の切替キースイッチを作業 主任者が保管せず、プレス作業主任者 としての職務を行わせなかったもの	2017-03-06	removed	
精機工業（株）	埼玉県さいたま市	埼玉労働局	2017-03-02	2017-06-01	91	最低賃金法第４条	労働者10名に、２か月間の定期賃金合 計約200万円を支払わなかったもの	2017-03-02	removed	
